cat,isLeasable
Home & Kitchen/Furniture/Home Office Furniture/Bookcases,True
Home & Kitchen/Furniture/Home Office Furniture/Computer Armoires & Hutches,True
Home & Kitchen/Furniture/Home Office Furniture/Drafting Tables,True
Home & Kitchen/Furniture/Home Office Furniture/Home Office Cabinets,True
Home & Kitchen/Furniture/Home Office Furniture/Office Chairs/Home Office Desk Chairs,True
Home & Kitchen/Furniture/Home Office Furniture/Office Chairs/Office Kneeling Chairs,True
Home & Kitchen/Furniture/Home Office Furniture/Home Office Desks,True
Home & Kitchen/Furniture/Home Office Furniture/Home Office Furniture Sets,True
Home & Kitchen/Furniture/Home Office Furniture/Hutches,True
Home & Kitchen/Furniture/Bedroom Furniture/Dressers & Chests of Drawers,True
Home & Kitchen/Furniture/Entryway Furniture/Coat Racks,True
Home & Kitchen/Furniture/Entryway Furniture/Hall Trees,True
Home & Kitchen/Furniture/Entryway Furniture/Storage Benches,True
"Home & Kitchen/Furniture/Bedroom Furniture/Beds, Frames & Bases/Bed Bases & Foundations/Adjustable Bed Bases",True
"Home & Kitchen/Furniture/Bedroom Furniture/Beds, Frames & Bases/Bed Bases & Foundations/Bed Slats",True
Home & Kitchen/Furniture/Bedroom Furniture/Mattresses & Box Springs/Box Springs,True
"Home & Kitchen/Furniture/Bedroom Furniture/Beds, Frames & Bases/Bed Bases & Foundations/Bunkie Boards",True
"Home & Kitchen/Furniture/Bedroom Furniture/Beds, Frames & Bases/Bed Frames",True
"Home & Kitchen/Furniture/Bedroom Furniture/Beds, Frames & Bases/Beds",True
"Home & Kitchen/Furniture/Bedroom Furniture/Beds, Frames & Bases/Headboards & Footboards/Headboards",True
"Home & Kitchen/Furniture/Bedroom Furniture/Beds, Frames & Bases/Headboards & Footboards/Footboards",True
Home & Kitchen/Furniture/Bedroom Furniture/Bedroom Armoires,True
Home & Kitchen/Furniture/Bedroom Furniture/Mattresses & Box Springs/Mattress & Box Spring Sets,True
Home & Kitchen/Furniture/Bedroom Furniture/Mattresses & Box Springs/Mattresses,True
Home & Kitchen/Furniture/Bedroom Furniture/Mattresses & Box Springs/Waterbed Mattresses,True
Home & Kitchen/Furniture/Bedroom Furniture/Nightstands,True
Home & Kitchen/Furniture/Bedroom Furniture/Vanities & Vanity Benches,True
Home & Kitchen/Furniture/Bedroom Furniture/Bedroom Sets,True
Home & Kitchen/Furniture/Bedroom Furniture/Room Dividers,True
Home & Kitchen/Furniture/Bedroom Furniture/Storage Trunks & Chests/Storage Chests,True
